SaleID,CustomerID,Product,Quantity,UnitPrice,TotalPrice,SaleDate
SALE001,CUST001,Laptop,1,950.00,950.00,2024-01-20
SALE002,CUST003,Wireless Mouse,2,25.00,50.00,2024-01-21
SALE003,CUST002,Monitor,1,200.00,200.00,2024-01-25
SALE004,CUST005,Keyboard,1,45.00,45.00,2024-01-28
SALE005,CUST004,Smartphone,1,799.00,799.00,2024-02-01
SALE006,CUST006,Tablet,2,300.00,600.00,2024-02-05
SALE007,CUST008,External Hard Drive,1,120.00,120.00,2024-02-09
SALE008,CUST007,Webcam,1,70.00,70.00,2024-02-12
SALE009,CUST010,Printer,1,150.00,150.00,2024-02-15
SALE010,CUST009,Laptop Stand,1,35.00,35.00,2024-02-18
SALE011,CUST011,Laptop,1,970.00,970.00,2024-02-20
SALE012,CUST012,Wireless Keyboard,2,40.00,80.00,2024-02-22
SALE013,CUST013,Smartwatch,1,199.00,199.00,2024-02-25
SALE014,CUST014,Noise Cancelling Headphones,1,250.00,250.00,2024-03-01
SALE015,CUST015,USB-C Hub,1,60.00,60.00,2024-03-04
SALE016,CUST016,Monitor,2,210.00,420.00,2024-03-08
SALE017,CUST017,Gaming Mouse,1,85.00,85.00,2024-03-11
SALE018,CUST018,Router,1,130.00,130.00,2024-03-15
SALE019,CUST019,Smartphone,1,820.00,820.00,2024-03-18
SALE020,CUST020,Tablet,1,310.00,310.00,2024-03-20
